Date,Merchant,Odometer,Trip Miles,Cost,Gallons,$/Gallon,MPG
5/23/2022,Costco,183685,189,$34.01 ,7.99,$4.26 ,23.67
5/15/2022,Costco,183496,252,$47.14 ,11.17,$4.22 ,22.55
5/4/2022,Costco,183244,198,$35.72 ,8.08,$4.42 ,24.49
4/24/2022,Costco,183046,176,$31.46 ,7.29,$4.32 ,24.16
4/3/2022,Costco,182870,254,$48.00 ,11.17,$4.30 ,22.75
3/20/2022,Costco,182616,227,$44.70 ,9.94,$4.50 ,22.85
3/13/2022,Costco,182389,193,$42.56 ,9.25,$4.60 ,20.86
3/5/2022,Costco,182196,133,$23.40 ,5.88,$3.98 ,22.62
2/27/2022,Costco,182063,247,$39.59 ,10.82,$3.66 ,22.83
2/20/2022,Costco,181816,192,$35.55 ,10.04,$3.54 ,19.12
2/11/2022,Costco,181624,235,$35.71 ,10.24,$3.49 ,22.96
2/2/2022,Costco,181389,241,$34.08 ,10.43,$3.27 ,23.12
1/17/2022,Costco,181148,219,$29.10 ,8.82,$3.30 ,24.82
1/9/2022,Costco,180929,,$31.49 ,9.45,$3.33 ,
